,Submission,Title,Cited
1648,1649,Probabilities Are Not Enough: Formal Controller Synthesis for Stochastic Dynamical Models with Epistemic Uncertainty,6
457,458,"Graphs, Constraints, and Search for the Abstraction and Reasoning Corpus",6
610,611,Fairness Concepts for Indivisible Items with Externalities,6
1,2,Reducing ANN-SNN Conversion Error through Residual Membrane Potential,6
341,342,DeMT: Deformable Mixer Transformer for Multi-Task Learning of Dense Prediction,6
255,256,Siamese-Discriminant Deep Reinforcement Learning for Solving Jigsaw Puzzles with Large Eroded Gaps,6
874,875,Boosting Graph Neural Networks via Adaptive Knowledge Distillation,6
1359,1360,Predicate Invention for Bilevel Planning,6
77,78,Underwater Ranker: Learn Which Is Better and How to Be Better,6
849,850,SigMaNet: One Laplacian to Rule Them All,6
631,632,Scalable Edge Blocking Algorithms for Defending Active Directory Style Attack Graphs,5
1620,1621,EINNs: Epidemiologically-Informed Neural Networks,5
828,829,Eliciting Structural and Semantic Global Knowledge in Unsupervised Graph Contrastive Learning,5
381,382,Hierarchical Consistent Contrastive Learning for Skeleton-Based Action Recognition with Growing Augmentations,5
541,542,Untargeted Attack against Federated Recommendation Systems via Poisonous Item Embeddings and the Defense,5
250,251,YOLOV: Making Still Image Object Detectors Great at Video Object Detection,5
634,635,Class Fairness in Online Matching,5
777,778,Unfooling Perturbation-Based Post Hoc Explainers,5
1777,1778,Industry-Scale Orchestrated Federated Learning for Drug Discovery,5
813,814,Continuous Mixtures of Tractable Probabilistic Models,5
784,785,NHITS: Neural Hierarchical Interpolation for Time Series Forecasting,5
1567,1568,Improving End-to-End Speech Translation by Leveraging Auxiliary Speech and Text Data,5
1229,1230,Policy-Based Primal-Dual Methods for Convex Constrained Markov Decision Processes,5
581,582,Zero-Shot Rumor Detection with Propagation Structure via Prompt Learning,5
1227,1228,Lottery Pools: Winning More by Interpolating Tickets without Increasing Training or Inference Cost,5
1604,1605,Accurate Fairness: Improving Individual Fairness without Trading Accuracy,5
837,838,Graph Anomaly Detection via Multi-Scale Contrastive Learning Networks with Augmented View,5
636,637,"Competition, Alignment, and Equilibria in Digital Marketplaces",5
387,388,Cross-View Geo-Localization via Learning Disentangled Geometric Layout Correspondence,5
883,884,Improving Pareto Front Learning via Multi-Sample Hypernetworks,5
1685,1686,Monitoring Model Deterioration with Explainable Uncertainty Estimation via Non-parametric Bootstrap,5
1707,1708,HOTCOLD Block: Fooling Thermal Infrared Detectors with a Novel Wearable Design,5
451,452,Reinforcement Learning for Branch-and-Bound Optimisation Using Retrospective Trajectories,5
235,236,Exploring Stroke-Level Modifications for Scene Text Editing,5
1451,1452,IndicSUPERB: A Speech Processing Universal Performance Benchmark for Indian Languages,5
785,786,Where Will Players Move Next? Dynamic Graphs and Hierarchical Fusion for Movement Forecasting in Badminton,5
1497,1498,Feature-Level Debiased Natural Language Understanding,5
479,480,Conditional Diffusion Based on Discrete Graph Structures for Molecular Graph Generation,5
938,939,Peeling the Onion: Hierarchical Reduction of Data Redundancy for Efficient Vision Transformer Training,5
666,667,Interactive Concept Bottleneck Models,5
191,192,DQ-DETR: Dual Query Detection Transformer for Phrase Extraction and Grounding,5
188,189,Novel Motion Patterns Matter for Practical Skeleton-Based Action Recognition,5
654,655,Ballot Length in Instant Runoff Voting,5
300,301,SSDA3D: Semi-supervised Domain Adaptation for 3D Object Detection from Point Cloud,5
138,139,Symbolic Replay: Scene Graph as Prompt for Continual Learning on VQA Task,5
