,Submission,Title,Cited
297,5938,Diverse Weight Averaging for Out-of-Distribution Generalization,33
2328,7115,Improving Intrinsic Exploration with Language Abstractions,33
1186,480,Equiformer: Equivariant Graph Attention Transformer for 3D Atomistic Graphs,33
2409,6617,Hidden Progress in Deep Learning: SGD Learns Parities Near the Computational Limit,33
1424,10129,Statistically Meaningful Approximation: a Case Study on Approximating Turing Machines with Transformers,33
1522,4496,Reconstructing Training Data From Trained Neural Networks,32
1506,4541,Diffusion-based Molecule Generation with Informative Prior Bridges,32
574,2129,RAMBO-RL: Robust Adversarial Model-Based Offline Reinforcement Learning,32
893,11007,K-LITE: Learning Transferable Visual Models with External Knowledge,32
25,2260,FiLM: Frequency improved Legendre Memory Model for Long-term Time Series Forecasting,32
1596,12341,WebShop: Towards Scalable Real-World Web Interaction with Grounded Language Agents,32
363,5539,NodeFormer: A Scalable Graph Structure Learning Transformer for Node Classification,32
1292,3994,Toward a realistic model of speech processing in the brain with self-supervised learning,31
710,9406,Optimal Brain Compression: A Framework for Accurate Post-Training Quantization and Pruning,31
1862,4357,GENIE: Higher-Order Denoising Diffusion Solvers,31
582,11033,Securing Secure Aggregation: Mitigating Multi-Round Privacy Leakage in Federated Learning,30
2557,10743,Assaying Out-Of-Distribution Generalization in Transfer Learning,30
2555,983,"What I Cannot Predict, I Do Not Understand: A Human-Centered Evaluation Framework for Explainability Methods",30
2719,5144,Knowledge Distillation from A Stronger Teacher,30
629,8025,Federated Learning from Pre-Trained Models: A Contrastive Learning Approach,30
1667,8949,DeVRF: Fast Deformable Voxel Radiance Fields for Dynamic Scenes,30
658,6885,UViM: A Unified Modeling Approach for Vision with Learned Guiding Codes,30
2094,11702,Fine-tuning language models to find agreement among humans with diverse preferences,30
2010,8152,Point Transformer V2: Grouped Vector Attention and Partition-based Pooling,30
1946,10931,The Effects of Regularization and Data Augmentation are Class Dependent,29
2162,7901,Agreement-on-the-line: Predicting the Performance of Neural Networks under Distribution Shift,29
647,11977,ComENet: Towards Complete and Efficient Message Passing for 3D Molecular Graphs,29
930,3385,A Neural Corpus Indexer for Document Retrieval,29
2656,7556,Dataset Distillation using Neural Feature Regression,29
2185,1781,Trajectory-guided Control Prediction for End-to-end Autonomous Driving: A Simple yet Strong Baseline,29
2476,3564,Handcrafted Backdoors in Deep Neural Networks,29
2355,739,Motion Transformer with Global Intention Localization and Local Movement Refinement,28
1664,310,Fast Vision Transformers with HiLo Attention,28
590,8754,How Powerful are K-hop Message Passing Graph Neural Networks,28
662,1257,VCT: A Video Compression Transformer,28
393,558,DeepInteraction: 3D Object Detection via Modality Interaction,28
1317,688,Towards Robust Blind Face Restoration with Codebook Lookup Transformer,28
102,1274,VITA: Video Instance Segmentation via Object Token Association,28
1922,979,Theseus: A Library for Differentiable Nonlinear Optimization,28
2454,300,PyramidCLIP: Hierarchical Feature Alignment for Vision-language Model Pretraining,27
1853,11062,Quality Not Quantity: On the Interaction between Dataset Design and Robustness of CLIP,27
101,8047,Understanding the Generalization Benefit of Normalization Layers: Sharpness Reduction,27
1902,7235,ShapeCrafter: A Recursive Text-Conditioned 3D Shape Generation Model,27
1159,1706,LasUIE: Unifying Information Extraction with Latent Adaptive Structure-aware Generative Language Model,27
397,6402,Which Explanation Should I Choose? A Function Approximation Perspective to Characterizing Post Hoc Explanations,27
2184,4065,A Continuous Time Framework for Discrete Denoising Models,27
487,6011,On Embeddings for Numerical Features in Tabular Deep Learning,26
1271,3078,Green Hierarchical Vision Transformer for Masked Image Modeling,26
660,1277,Dataset Distillation via Factorization,26
2758,5190,NUWA-Infinity: Autoregressive over Autoregressive Generation for Infinite Visual Synthesis,26
1970,8092,SemMAE: Semantic-Guided Masking for Learning Masked Autoencoders,25
2205,10159,Learning Neural Acoustic Fields,25
2079,508,Recurrent Video Restoration Transformer with Guided Deformable Attention,25
1398,2117,Generating Long Videos of Dynamic Scenes,25
360,11096,Supervised Training of Conditional Monge Maps,25
2050,271,Self-Supervised Visual Representation Learning with Semantic Grouping,25
2531,9785,General Cutting Planes for Bound-Propagation-Based Neural Network Verification,25
2222,1744,P2P: Tuning Pre-trained Image Models for Point Cloud Analysis with Point-to-Pixel Prompting,25
2760,2455,Graph Neural Networks as Gradient Flows,24
1335,3628,When does return-conditioned supervised learning work for offline reinforcement learning?,24
892,2985,Squeezeformer: An Efficient Transformer for Automatic Speech Recognition,24
235,6660,When Do Flat Minima Optimizers Work?,24
1293,1746,Decentralized Local Stochastic Extra-Gradient for Variational Inequalities,24
919,8788,Capturing Failures of Large Language Models via Human Cognitive Biases,24
188,12069,On Feature Learning in the Presence of Spurious Correlations,24
2493,6442,Weakly Supervised Representation Learning with Sparse Perturbations,24
210,6832,Poisson Flow Generative Models,24
2700,5807,Brain Network Transformer,23
1181,8463,Rethinking and Scaling Up Graph Contrastive Learning: An Extremely Efficient Approach with Group Discrimination,23
43,7959,"Why So Pessimistic? Estimating Uncertainties for Offline RL through Ensembles, and Why Their Independence Matters",23
1831,5054,Factuality Enhanced Language Models for Open-Ended Text Generation,23
741,2811,Unsupervised Cross-Task Generalization via Retrieval Augmentation,23
619,4537,When does dough become a bagel? Analyzing the remaining mistakes on ImageNet,23
579,6064,Local Latent Space Bayesian Optimization over Structured Inputs,23
1399,6006,Decentralized Gossip-Based Stochastic Bilevel Optimization over Communication Networks,23
2188,904,Decoupling Features in Hierarchical Propagation for Video Object Segmentation,23
1888,6970,Optimal Rates for Regularized Conditional Mean Embedding Learning,22
1878,6240,Gradient flow dynamics of shallow ReLU networks for square loss and orthogonal inputs,22
2344,548,TransTab: Learning Transferable Tabular Transformers Across Tables,22
1415,2354,Mildly Conservative Q-Learning for Offline Reinforcement Learning,22
2426,3371,Make Sharpness-Aware Minimization Stronger: A Sparsified Perturbation Approach,22
201,9289,Ordered Subgraph Aggregation Networks,22
146,10987,Graph Neural Networks are Dynamic Programmers,22
927,10532,Thor: Wielding Hammers to Integrate Language Models and Automated Theorem Provers,22
515,1523,Monocular Dynamic View Synthesis: A Reality Check,22
2288,8905,SCINet: Time Series Modeling and Forecasting with Sample Convolution and Interaction,22
2803,4190,Gradient Descent: The Ultimate Optimizer,22
2128,11908,When Does Differentially Private Learning Not Suffer in High Dimensions?,22
1548,6931,"Interventions, Where and How? Experimental Design for Causal Models at Scale",22
2809,9430,"Not too little, not too much: a theoretical analysis of graph (over)smoothing",22
1466,3214,HF-NeuS: Improved Surface Reconstruction Using High-Frequency Details,22
305,11308,Analyzing Sharpness along GD Trajectory: Progressive Sharpening and Edge of Stability,22
344,2462,Self-Consistent Dynamical Field Theory of Kernel Evolution in Wide Neural Networks,21
1925,2240,Variational inference via Wasserstein gradient flows,21
821,10659,Invariance Learning in Deep Neural Networks with Differentiable Laplace Approximations,21
265,780,When to Make Exceptions: Exploring Language Models as Accounts of Human Moral Judgment,21
1416,7403,ZSON: Zero-Shot Object-Goal Navigation using Multimodal Goal Embeddings,21
2646,112,Learning Substructure Invariance for Out-of-Distribution Molecular Representations,21
521,9313,Generalization Analysis of Message Passing Neural Networks on Large Random Graphs,21
657,4429,Earthformer: Exploring Space-Time Transformers for Earth System Forecasting,21
1356,6992,"Deep Ensembles Work, But Are They Necessary?",21
251,8854,Imbalance Trouble: Revisiting Neural-Collapse Geometry,21
818,11159,Improved Differential Privacy for SGD via Optimal Private Linear Operators on Adaptive Streams,21
517,2939,Enhanced Bilevel Optimization via Bregman Distance,21
2020,1329,MinVIS: A Minimal Video Instance Segmentation Framework without Video-based Training,21
1444,11788,Recurrent Memory Transformer,21
1005,10606,Recovering Private Text in Federated Learning of Language Models,21
868,8990,Revisiting Neural Scaling Laws in Language and Vision,20
2331,11517,Robust Reinforcement Learning using Offline Data,20
2491,4396,Towards Understanding Grokking: An Effective Theory of Representation Learning,20
716,1639,Untargeted Backdoor Watermark: Towards Harmless and Stealthy Dataset Copyright Protection,20
1248,5118,Bootstrapped Transformer for Offline Reinforcement Learning,20
955,660,Fully Sparse 3D Object Detection,20
1142,5542,Uni-Perceiver-MoE: Learning Sparse Generalist Models with Conditional MoEs,20
183,719,Cross Aggregation Transformer for Image Restoration,20
1964,12399,HyperTree Proof Search for Neural Theorem Proving,20
505,8640,Mind Reader: Reconstructing complex images from brain activities,19
2576,9807,Sharper Convergence Guarantees for Asynchronous SGD for Distributed and Federated Learning,19
567,12327,Semantic Probabilistic Layers for Neuro-Symbolic Learning,19
18,1808,TANGO: Text-driven Photorealistic and Robust 3D Stylization via Lighting Decomposition,19
259,12549,The Query Complexity of Cake Cutting,19
300,6417,Sampling with Riemannian Hamiltonian Monte Carlo in a Constrained Space,19
2582,1307,SegViT: Semantic Segmentation with Plain Vision Transformers,19
1670,6721,Provably Efficient Reinforcement Learning in Partially Observable Dynamical Systems,19
1679,5408,On Margin Maximization in Linear and ReLU Networks,19
2173,3002,NOTE: Robust Continual Test-time Adaptation Against Temporal Correlation,19
1581,870,Remember the Past: Distilling Datasets into Addressable Memories for Neural Networks,19
2746,8530,Active Learning Helps Pretrained Models Learn the Intended Task,19
1588,3856,3DILG: Irregular Latent Grids for 3D Generative Modeling,19
1477,6705,Fairness Transferability Subject to Bounded Distribution Shift,19
1936,6637,Rare Gems: Finding Lottery Tickets at Initialization,19
1834,8162,Fault-Aware Neural Code Rankers,19
1204,9209,BinauralGrad: A Two-Stage Conditional Diffusion Probabilistic Model for Binaural Audio Synthesis,19
1482,8382,Understanding and Improving Robustness of Vision Transformers through Patch-based Negative Augmentation,19
1469,10071,Decentralized Training of Foundation Models in Heterogeneous Environments,19
2343,12225,Do Current Multi-Task Optimization Methods in Deep Learning Even Help?,18
643,1243,GMMSeg: Gaussian Mixture based Generative Semantic Segmentation Models,18
2193,6879,BOME! Bilevel Optimization Made Easy: A Simple First-Order Approach,18
2602,9677,Unsupervised Learning of Group Invariant and Equivariant Representations,18
1345,5800,ViewFool: Evaluating the Robustness of Visual Recognition to Adversarial Viewpoints,18
2236,8258,Iterative Feature Matching: Toward Provable Domain Generalization with Logarithmic Environments,18
1261,2222,Multi-Granularity Cross-modal Alignment for Generalized Medical Visual Representation Learning,18
142,2474,REVIVE: Regional Visual Representation Matters in Knowledge-Based Visual Question Answering,18
