Submission,Title,Cited
435,HyperInverter: Improving StyleGAN Inversion via Hypernetwork,68
133,Prompt Distribution Learning,68
1604,Shunted Self-Attention via Multi-Scale Token Aggregation,66
1112,TransWeather: Transformer-Based Restoration of Images Degraded by Adverse Weather Conditions,66
1126,BANMo: Building Animatable 3D Neural Models From Many Casual Videos,65
1099,Contrastive Test-Time Adaptation,65
1203,Scene Representation Transformer: Geometry-Free Novel View Synthesis Through Set-Latent Scene Representations,64
1069,Focal Sparse Convolutional Networks for 3D Object Detection,63
33,End-to-End Generative Pretraining for Multimodal Video Captioning,63
694,Video Frame Interpolation Transformer,63
1506,LAVT: Language-Aware Vision Transformer for Referring Image Segmentation,63
1522,Decoupling Zero-Shot Semantic Segmentation,62
1164,LOLNerf: Learn From One Look,61
1127,StyTr2: Image Style Transfer With Transformers,60
1834,Deep Spectral Methods: A Surprisingly Strong Baseline for Unsupervised Semantic Segmentation and Localization,59
442,Generating Diverse and Natural 3D Human Motions From Text,59
1447,Panoptic SegFormer: Delving Deeper Into Panoptic Segmentation With Transformers,59
307,Generalized Category Discovery,59
1803,AdaViT: Adaptive Vision Transformers for Efficient Image Recognition,58
913,ELIC: Efficient Learned Image Compression With Unevenly Grouped Space-Channel Contextual Adaptive Coding,58
1466,Autoregressive Image Generation Using Residual Quantization,58
1219,Light Field Neural Rendering,57
1139,DTFD-MIL: Double-Tier Feature Distillation Multiple Instance Learning for Histopathology Whole Slide Image Classification,57
530,Transforming Model Prediction for Tracking,57
404,Hire-MLP: Vision MLP via Hierarchical Rearrangement,57
67,GeoNeRF: Generalizing NeRF With Geometry Priors,57
423,QueryDet: Cascaded Sparse Query for Accelerating High-Resolution Small Object Detection,56
198,Putting People in Their Place: Monocular Regression of 3D People in Depth,55
194,Splicing ViT Features for Semantic Appearance Transfer,55
252,DETReg: Unsupervised Pretraining With Region Priors for Object Detection,55
1272,Perception Prioritized Training of Diffusion Models,55
1109,BACON: Band-Limited Coordinate Networks for Multiscale Scene Representation,55
1220,Fast Point Transformer,55
1353,Practical Stereo Matching via Cascaded Recurrent Network With Adaptive Correlation,54
1057,Image Dehazing Transformer With Transmission-Aware 3D Position Embedding,54
617,PixMix: Dreamlike Pictures Comprehensively Improve Safety Measures,53
30,Exact Feature Distribution Matching for Arbitrary Style Transfer and Domain Generalization,53
743,CAFE: Learning To Condense Dataset by Aligning Features,53
426,Learning From All Vehicles,53
179,Self-Supervised Predictive Convolutional Attentive Block for Anomaly Detection,52
373,Improving Neural Implicit Surfaces Geometry With Patch Warping,52
207,Bridging Video-Text Retrieval With Multiple Choice Questions,52
782,Targeted Supervised Contrastive Learning for Long-Tailed Recognition,52
616,ShapeFormer: Transformer-Based Shape Completion via Sparse Representation,51
41,Incremental Transformer Structure Enhanced Image Inpainting With Masking Positional Encoding,51
1688,Lite Vision Transformer With Enhanced Self-Attention,50
240,Rethinking Architecture Design for Tackling Data Heterogeneity in Federated Learning,50
15,Voxel Set Transformer: A Set-to-Set Approach to 3D Object Detection From Point Clouds,50
544,Revisiting Weakly Supervised Pre-Training of Visual Perception Models,50
3,Estimating Example Difficulty Using Variance of Gradients,50
28,Multi-Class Token Transformer for Weakly Supervised Semantic Segmentation,49
1493,Sparse Fuse Dense: Towards High Quality 3D Detection With Depth Completion,49
1826,Point Density-Aware Voxels for LiDAR 3D Object Detection,49
1189,Crafting Better Contrastive Views for Siamese Representation Learning,49
142,Towards Efficient and Scalable Sharpness-Aware Minimization,49
83,SimMatch: Semi-Supervised Learning With Similarity Matching,48
358,SelfRecon: Self Reconstruction Your Digital Avatar From Monocular Video,48
669,Global Tracking Transformers,48
1605,Shadows Can Be Dangerous: Stealthy and Effective Physical-World Adversarial Attack by Natural Phenomenon,47
1546,All-in-One Image Restoration for Unknown Corruption,47
1305,HairCLIP: Design Your Hair by Text and Reference Image,47
785,Balanced Contrastive Learning for Long-Tailed Visual Recognition,47
