Submission,Title,Cited
297,A Simple Multi-Modality Transfer Learning Baseline for Sign Language Translation,24
460,DynamicEarthNet: Daily Multi-Spectral Satellite Dataset for Semantic Change Segmentation,24
324,Killing Two Birds With One Stone: Efficient and Robust Training of Face Recognition CNNs by Partial FC,24
1759,UMT: Unified Multi-Modal Transformers for Joint Video Moment Retrieval and Highlight Detection,24
418,MAD: A Scalable Dataset for Language Grounding in Videos From Movie Audio Descriptions,24
682,TableFormer: Table Structure Understanding With Transformers,24
222,Remember Intentions: Retrospective-Memory-Based Trajectory Prediction,24
1284,Occlusion-Aware Cost Constructor for Light Field Depth Estimation,24
1873,Watch It Move: Unsupervised Discovery of 3D Joints for Re-Posing of Articulated Objects,23
1831,Matching Feature Sets for Few-Shot Image Classification,23
1531,IFOR: Iterative Flow Minimization for Robotic Object Rearrangement,23
1804,Compound Domain Generalization via Meta-Knowledge Encoding,23
1072,Nested Collaborative Learning for Long-Tailed Visual Recognition,23
2030,FIBA: Frequency-Injection Based Backdoor Attack in Medical Image Analysis,23
125,Mixed Differential Privacy in Computer Vision,23
938,Deformable Sprites for Unsupervised Video Decomposition,23
1849,Neural Mean Discrepancy for Efficient Out-of-Distribution Detection,23
2008,Towards Practical Deployment-Stage Backdoor Attack on Deep Neural Networks,23
1018,Robust Contrastive Learning Against Noisy Views,23
758,What Makes Transfer Learning Work for Medical Images: Feature Reuse & Other Factors,23
1855,RecDis-SNN: Rectifying Membrane Potential Distribution for Directly Training Spiking Neural Networks,23
1548,Sketching Without Worrying: Noise-Tolerant Sketch-Based Image Retrieval,23
159,Shape From Polarization for Complex Scenes in the Wild,23
1052,NPBG++: Accelerating Neural Point-Based Graphics,23
948,WildNet: Learning Domain Generalized Semantic Segmentation From the Wild,23
50,Infrared Invisible Clothing: Hiding From Infrared Detectors at Multiple Angles in Real World,23
428,Disentangled3D: Learning a 3D Generative Model With Disentangled Geometry and Appearance From Monocular Images,23
1559,Joint Hand Motion and Interaction Hotspots Prediction From Egocentric Videos,23
267,Exploring Domain-Invariant Parameters for Source Free Domain Adaptation,23
825,Balanced MSE for Imbalanced Visual Regression,23
105,3DJCG: A Unified Framework for Joint Dense Captioning and Visual Grounding on 3D Point Clouds,23
113,Details or Artifacts: A Locally Discriminative Learning Approach to Realistic Image Super-Resolution,23
1640,Weakly Supervised Semantic Segmentation Using Out-of-Distribution Data,23
545,Semi-Supervised Semantic Segmentation With Error Localization Network,23
949,Auditing Privacy Defenses in Federated Learning via Generative Gradient Leakage,22
1848,Beyond 3D Siamese Tracking: A Motion-Centric Paradigm for 3D Single Object Tracking in Point Clouds,22
651,Recurring the Transformer for Video Action Recognition,22
507,MatteFormer: Transformer-Based Image Matting via Prior-Tokens,22
735,DeepDPM: Deep Clustering With an Unknown Number of Clusters,22
115,Hyperbolic Image Segmentation,22
810,SwinTextSpotter: Scene Text Spotting via Better Synergy Between Text Detection and Text Recognition,22
1516,Modeling Image Composition for Complex Scene Generation,22
2033,Deep Constrained Least Squares for Blind Image Super-Resolution,22
1435,Structured Sparse R-CNN for Direct Scene Graph Generation,22
862,FS6D: Few-Shot 6D Pose Estimation of Novel Objects,22
1697,Learning To Generate Line Drawings That Convey Geometry and Semantics,22
1521,GraFormer: Graph-Oriented Transformer for 3D Pose Estimation,22
1725,Show Me What and Tell Me How: Video Synthesis via Multimodal Conditioning,22
1359,MobRecon: Mobile-Friendly Hand Mesh Reconstruction From Monocular Image,22
1216,Unifying Motion Deblurring and Frame Interpolation With Events,22
1238,Adaptive Trajectory Prediction via Transferable GNN,22
1395,Cross-Patch Dense Contrastive Learning for Semi-Supervised Segmentation of Cellular Nuclei in Histopathologic Images,22
1444,Transformer Tracking With Cyclic Shifting Window Attention,22
1938,FedCor: Correlation-Based Active Client Selection Strategy for Heterogeneous Federated Learning,22
339,Towards End-to-End Unified Scene Text Detection and Layout Analysis,22
1000,Active Learning by Feature Mixing,22
1527,Templates for 3D Object Pose Estimation Revisited: Generalization to New Objects and Robustness to Occlusions,22
1669,FashionVLP: Vision Language Transformer for Fashion Retrieval With Feedback,22
637,Implicit Motion Handling for Video Camouflaged Object Detection,21
1137,Co-Advise: Cross Inductive Bias Distillation,21
1228,Style Neophile: Constantly Seeking Novel Styles for Domain Generalization,21
1392,Hybrid Relation Guided Set Matching for Few-Shot Action Recognition,21
336,LTP: Lane-Based Trajectory Prediction for Autonomous Driving,21
1802,SEEG: Semantic Energized Co-Speech Gesture Generation,21
2054,Closing the Generalization Gap of Cross-Silo Federated Medical Image Segmentation,21
254,Practical Evaluation of Adversarial Robustness via Adaptive Auto Attack,21
1434,Multi-View Transformer for 3D Visual Grounding,21
189,Improving the Transferability of Targeted Adversarial Examples Through Object-Based Diverse Input,21
593,Temporal Feature Alignment and Mutual Information Maximization for Video-Based Human Pose Estimation,21
1839,TubeFormer-DeepLab: Video Mask Transformer,21
1005,RNNPose: Recurrent 6-DoF Object Pose Refinement With Robust Correspondence Field Estimation and Pose Optimization,21
1681,Real-Time Object Detection for Streaming Perception,21
1823,Long-Tailed Visual Recognition via Gaussian Clouded Logit Adjustment,21
748,PPDL: Predicate Probability Distribution Based Loss for Unbiased Scene Graph Generation,21
645,GradViT: Gradient Inversion of Vision Transformers,21
376,How Well Do Sparse ImageNet Models Transfer?,21
685,Spectral Unsupervised Domain Adaptation for Visual Recognition,21
1846,What's in Your Hands? 3D Reconstruction of Generic Objects in Hands,21
1735,ISNet: Shape Matters for Infrared Small Target Detection,21
1445,ProposalCLIP: Unsupervised Open-Category Object Proposal Generation via Exploiting CLIP Cues,21
1491,Capturing Humans in Motion: Temporal-Attentive 3D Human Pose and Shape Estimation From Monocular Video,21
1042,Graph Sampling Based Deep Metric Learning for Generalizable Person Re-Identification,21
1578,On the Importance of Asymmetry for Siamese Representation Learning,21
1402,Face2Exp: Combating Data Biases for Facial Expression Recognition,21
526,Learning From Temporal Gradient for Semi-Supervised Action Recognition,20
1773,PolyWorld: Polygonal Building Extraction With Graph Neural Networks in Satellite Images,20
953,MonoJSG: Joint Semantic and Geometric Cost Volume for Monocular 3D Object Detection,20
421,ArtiBoost: Boosting Articulated 3D Hand-Object Pose Estimation via Online Exploration and Synthesis,20
334,Exploiting Pseudo Labels in a Self-Supervised Learning Framework for Improved Monocular Depth Estimation,20
894,Fair Contrastive Learning for Facial Attribute Classification,20
1310,Bridging Global Context Interactions for High-Fidelity Image Completion,20
1380,Towards Semi-Supervised Deep Facial Expression Recognition With an Adaptive Confidence Margin,20
1940,PokeBNN: A Binary Pursuit of Lightweight Accuracy,20
312,Voxel Field Fusion for 3D Object Detection,20
173,Dual Temperature Helps Contrastive Learning Without Many Negative Samples: Towards Understanding and Simplifying MoCo,20
87,Quantifying Societal Bias Amplification in Image Captioning,20
354,Style-Based Global Appearance Flow for Virtual Try-On,20
78,Open-World Instance Segmentation: Exploiting Pseudo Ground Truth From Learned Pairwise Affinity,20
747,"Not Just Selection, but Exploration: Online Class-Incremental Continual Learning via Dual View Consistency",20
1204,Shape-Invariant 3D Adversarial Point Clouds,20
1891,Rethinking Spatial Invariance of Convolutional Networks for Object Counting,20
2053,Beyond Cross-View Image Retrieval: Highly Accurate Vehicle Localization Using Satellite Image,20
1847,Continuous Scene Representations for Embodied AI,20
939,CamLiFlow: Bidirectional Camera-LiDAR Fusion for Joint Optical Flow and Scene Flow Estimation,20
1276,CHEX: CHannel EXploration for CNN Model Compression,20
1058,Out-of-Distribution Generalization With Causal Invariant Transformations,20
1260,RepMLPNet: Hierarchical Vision MLP With Re-Parameterized Locality,20
1754,OSOP: A Multi-Stage One Shot Object Pose Estimation Framework,20
1271,GCFSR: A Generative and Controllable Face Super Resolution Method Without Facial and GAN Priors,20
1184,Self-Supervised Material and Texture Representation Learning for Remote Sensing Tasks,20
900,RCL: Recurrent Continuous Localization for Temporal Action Detection,20
1253,Learning With Neighbor Consistency for Noisy Labels,20
182,StyleMesh: Style Transfer for Indoor 3D Scene Reconstructions,20
272,Wavelet Knowledge Distillation: Towards Efficient Image-to-Image Translation,20
141,Opening Up Open World Tracking,19
1482,Weakly Supervised Temporal Sentence Grounding With Gaussian-Based Contrastive Proposal Learning,19
882,Towards Multi-Domain Single Image Dehazing via Test-Time Training,19
1378,Implicit Sample Extension for Unsupervised Person Re-Identification,19
503,Dynamic Prototype Convolution Network for Few-Shot Semantic Segmentation,19
1675,CNN Filter DB: An Empirical Investigation of Trained Convolutional Filters,19
873,Not All Labels Are Equal: Rationalizing the Labeling Costs for Training Object Detection,19
1603,Visual Acoustic Matching,19
82,Bridge-Prompt: Towards Ordinal Action Understanding in Instructional Videos,19
1664,Rope3D: The Roadside Perception Dataset for Autonomous Driving and Monocular 3D Object Detection Task,19
1662,Self-Supervised Global-Local Structure Modeling for Point Cloud Domain Adaptation With Reliable Voted Pseudo Labels,19
27,Bridging the Gap Between Classification and Localization for Weakly Supervised Object Localization,19
1593,Towards Robust and Adaptive Motion Forecasting: A Causal Representation Perspective,19
836,Progressive End-to-End Object Detection in Crowded Scenes,19
579,Bridging the Gap Between Learning in Discrete and Continuous Environments for Vision-and-Language Navigation,19
841,"A Comprehensive Study of Image Classification Model Sensitivity to Foregrounds, Backgrounds, and Visual Attributes",19
2006,Semiconductor Defect Detection by Hybrid Classical-Quantum Deep Learning,19
1148,Incremental Learning in Semantic Segmentation From Image Labels,19
1812,KNN Local Attention for Image Restoration,19
975,EASE: Unsupervised Discriminant Subspace Learning for Transductive Few-Shot Learning,19
474,Fingerprinting Deep Neural Networks Globally via Universal Adversarial Perturbations,19
456,Surface Reconstruction From Point Clouds by Learning Predictive Context Priors,19
663,Efficient Video Instance Segmentation via Tracklet Query and Proposal,19
686,AdaInt: Learning Adaptive Intervals for 3D Lookup Tables on Real-Time Image Enhancement,19
381,CaDeX: Learning Canonical Deformation Coordinate Space for Dynamic Surface Representation via Neural Homeomorphism,19
1628,3D Shape Reconstruction From 2D Images With Disentangled Attribute Flow,19
525,Surface-Aligned Neural Radiance Fields for Controllable 3D Human Synthesis,19
705,Text Spotting Transformers,19
907,No-Reference Point Cloud Quality Assessment via Domain Adaptation,19
299,Neural Point Light Fields,19
1932,Per-Clip Video Object Segmentation,19
284,Neural Points: Point Cloud Representation With Neural Fields for Arbitrary Upsampling,19
237,FocusCut: Diving Into a Focus View in Interactive Segmentation,19
195,Contrastive Regression for Domain Adaptation on Gaze Estimation,19
1131,Investigating the Impact of Multi-LiDAR Placement on Object Detection for Autonomous Driving,19
1971,Accurate 3D Body Shape Regression Using Metric and Semantic Attributes,19
582,Learning Deep Implicit Functions for 3D Shapes With Dynamic Code Clouds,19
1963,Visual Abductive Reasoning,19
739,Unsupervised Domain Adaptation for Nighttime Aerial Tracking,19
1955,"PoseTriplet: Co-Evolving 3D Human Pose Estimation, Imitation, and Hallucination Under Self-Supervision",19
1727,Bijective Mapping Network for Shadow Removal,18
929,IDR: Self-Supervised Image Denoising via Iterative Data Refinement,18
1689,Diversity Matters: Fully Exploiting Depth Clues for Reliable Monocular 3D Object Detection,18
660,Improving Subgraph Recognition With Variational Graph Information Bottleneck,18
849,DirecFormer: A Directed Attention in Transformer Approach to Robust Action Recognition,18
653,3D-VField: Adversarial Augmentation of Point Clouds for Domain Generalization in 3D Object Detection,18
652,Subspace Adversarial Training,18
1306,Imposing Consistency for Optical Flow Estimation,18
751,Fine-Grained Predicates Learning for Scene Graph Generation,18
1657,Not All Relations Are Equal: Mining Informative Labels for Scene Graph Generation,18
319,Less Is More: Generating Grounded Navigation Instructions From Landmarks,18
84,OrphicX: A Causality-Inspired Latent Variable Model for Interpreting Graph Neural Networks,18
447,Global Context With Discrete Diffusion in Vector Quantised Modelling for Image Generation,18
1852,Complex Backdoor Detection by Symmetric Feature Differencing,18
1907,3D-SPS: Single-Stage 3D Visual Grounding via Referred Point Progressive Selection,18
1939,Modulated Contrast for Versatile Image Synthesis,18
1128,Towards Discriminative Representation: Multi-View Trajectory Contrastive Learning for Online Multi-Object Tracking,18
1511,Frequency-Driven Imperceptible Adversarial Attack on Semantic Similarity,18
1145,Deep Unlearning via Randomized Conditionally Independent Hessians,18
512,Learning Pixel Trajectories With Multiscale Contrastive Random Walks,18
201,Neural Texture Extraction and Distribution for Controllable Person Image Synthesis,18
522,Point2Cyl: Reverse Engineering 3D Objects From Point Clouds to Extrusion Cylinders,18
1185,Threshold Matters in WSSS: Manipulating the Activation for the Robust and Accurate Segmentation Model Against Thresholds,18
1480,TeachAugment: Data Augmentation Optimization Using Teacher Knowledge,18
1055,Affine Medical Image Registration With Coarse-To-Fine Vision Transformer,18
569,Mimicking the Oracle: An Initial Phase Decorrelation Approach for Class Incremental Learning,18
1401,FlexIT: Towards Flexible Semantic Image Translation,18
74,Exploring Dual-Task Correlation for Pose Guided Person Image Generation,17
24,CAPRI-Net: Learning Compact CAD Shapes With Adaptive Primitive Assembly,17
691,OmniFusion: 360 Monocular Depth Estimation via Geometry-Aware Fusion,17
1650,HybridCR: Weakly-Supervised 3D Point Cloud Semantic Segmentation via Hybrid Contrastive Regularization,17
630,Efficient Deep Embedded Subspace Clustering,17
1426,Cross Domain Object Detection by Target-Perceived Dual Branch Distillation,17
1079,Large Loss Matters in Weakly Supervised Multi-Label Classification,17
1656,Robust Equivariant Imaging: A Fully Unsupervised Framework for Learning To Image From Noisy and Partial Measurements,17
243,SPAct: Self-Supervised Privacy Preservation for Action Recognition,17
1218,Unsupervised Pre-Training for Temporal Action Localization Tasks,17
1297,Towards Better Understanding Attribution Methods,17
1292,Segment and Complete: Defending Object Detectors Against Adversarial Patch Attacks With Robust Patch Detection,17
626,DearKD: Data-Efficient Early Knowledge Distillation for Vision Transformers,17
727,Unsupervised Learning of Accurate Siamese Tracking,17
1906,Unsupervised Hierarchical Semantic Segmentation With Multiview Cosegmentation and Clustering Transformers,17
471,BatchFormer: Learning To Explore Sample Relationships for Robust Representation Learning,17
1935,ONCE-3DLanes: Building Monocular 3D Lane Detection,17
1556,Few-Shot Backdoor Defense Using Shapley Estimation,17
1532,Training-Free Transformer Architecture Search,17
465,Weakly Supervised Temporal Action Localization via Representative Snippet Knowledge Propagation,17
656,Neural Data-Dependent Transform for Learned Image Compression,17
1358,ImFace: A Nonlinear 3D Morphable Face Model With Implicit Neural Representations,17
360,Rethinking the Augmentation Module in Contrastive Learning: Learning Hierarchical Augmentation Invariance With Expanded Views,17
1090,DTA: Physical Camouflage Attacks Using Differentiable Transformation Network,17
458,Self-Supervised Keypoint Discovery in Behavioral Videos,17
1015,Cross-Domain Correlation Distillation for Unsupervised Domain Adaptation in Nighttime Semantic Segmentation,17
514,Grounding Answers for Visual Questions Asked by Visually Impaired People,17
888,MuKEA: Multimodal Knowledge Extraction and Accumulation for Knowledge-Based Visual Question Answering,17
56,Sparse Local Patch Transformer for Robust Face Alignment and Landmarks Inherent Relation Learning,17
1316,SC2-PCR: A Second Order Spatial Compatibility for Efficient and Robust Point Cloud Registration,17
1470,BokehMe: When Neural Rendering Meets Classical Rendering,17
99,Discovering Objects That Can Move,17
120,DEFEAT: Deep Hidden Feature Backdoor Attacks by Imperceptible Perturbation and Latent Representation Constraints,17
121,Projective Manifold Gradient Layer for Deep Rotation Regression,17
1379,Energy-Based Latent Aligner for Incremental Learning,17
970,Is Mapping Necessary for Realistic PointGoal Navigation?,17
1542,Multi-Level Representation Learning With Semantic Alignment for Referring Video Object Segmentation,17
1869,"DiRA: Discriminative, Restorative, and Adversarial Learning for Self-Supervised Medical Image Analysis",17
1787,Lite Pose: Efficient Architecture Design for 2D Human Pose Estimation,17
539,RFNet: Unsupervised Network for Mutually Reinforcing Multi-Modal Image Registration and Fusion,17
1416,Lagrange Motion Analysis and View Embeddings for Improved Gait Recognition,17
2011,Pin the Memory: Learning To Generalize Semantic Segmentation,17
167,Pyramid Grafting Network for One-Stage High Resolution Saliency Detection,17
1168,Structure-Aware Motion Transfer With Deformable Anchor Model,17
183,Which Model To Transfer? Finding the Needle in the Growing Haystack,17
908,Generating Representative Samples for Few-Shot Classification,17
1440,BARC: Learning To Regress 3D Dog Shape From Images by Exploiting Breed Information,17
759,Towards Diverse and Natural Scene-Aware 3D Human Motion Synthesis,17
1987,Towards Unsupervised Domain Generalization,17
2067,Fairness-Aware Adversarial Perturbation Towards Bias Mitigation for Deployed Deep Models,17
9,Recurrent Dynamic Embedding for Video Object Segmentation,16
1729,Causal Transportability for Visual Recognition,16
1073,Crowd Counting in the Frequency Domain,16
1291,Topology-Preserving Shape Reconstruction and Registration via Neural Diffeomorphic Flow,16
244,Uni6D: A Unified CNN Framework Without Projection Breakdown for 6D Pose Estimation,16
1433,Coupled Iterative Refinement for 6D Multi-Object Pose Estimation,16
718,Nonuniform-to-Uniform Quantization: Towards Accurate Quantization via Generalized Straight-Through Estimation,16
300,"Vehicle Trajectory Prediction Works, but Not Everywhere",16
1124,Proactive Image Manipulation Detection,16
291,FIFO: Learning Fog-Invariant Features for Foggy Scene Segmentation,16
1136,Self-Supervised Arbitrary-Scale Point Clouds Upsampling via Implicit Neural Representation,16
1651,Fine-Tuning Image Transformers Using Learnable Memory,16
1371,Brain-Inspired Multilayer Perceptron With Spiking Neurons,16
1347,Disentangling Visual Embeddings for Attributes and Objects,16
1990,Robust Invertible Image Steganography,16
2010,Unsupervised Action Segmentation by Joint Representation Learning and Online Clustering,16
815,GIFS: Neural Implicit Function for General Shape Representation,16
783,Both Style and Fog Matter: Cumulative Domain Adaptation for Semantic Foggy Scene Understanding,16
1190,RSCFed: Random Sampling Consensus Federated Semi-Supervised Learning,16
804,Topology Preserving Local Road Network Estimation From Single Onboard Camera Image,16
202,Classification-Then-Grounding: Reformulating Video Scene Graphs As Temporal Bipartite Graphs,16
584,Amodal Panoptic Segmentation,16
1007,Dual-AI: Dual-Path Actor Interaction Learning for Group Activity Recognition,16
1775,Multi-Granularity Alignment Domain Adaptation for Object Detection,16
1342,AutoLoss-Zero: Searching Loss Functions From Scratch for Generic Tasks,16
1278,Domain Adaptation on Point Clouds via Geometry-Aware Implicits,16
956,Efficient Classification of Very Large Images With Tiny Objects,16
622,TimeReplayer: Unlocking the Potential of Event Cameras for Video Interpolation,16
1851,Marginal Contrastive Correspondence for Guided Image Generation,16
1332,E2(GO)MOTION: Motion Augmented Event Stream for Egocentric Action Recognition,16
1331,Pseudo-Q: Generating Pseudo Language Queries for Visual Grounding,16
467,SketchEdit: Mask-Free Local Image Manipulation With Partial Sketches,16
588,Correlation Verification for Image Retrieval,16
1752,A Text Attention Network for Spatial Deformation Robust Scene Text Image Super-Resolution,16
1430,Unbiased Subclass Regularization for Semi-Supervised Semantic Segmentation,16
2032,Bridged Transformer for Vision and Point Cloud 3D Object Detection,15
1634,Domain-Agnostic Prior for Transfer Semantic Segmentation,15
1713,Neural Volumetric Object Selection,15
481,Robust Image Forgery Detection Over Online Social Network Shared Images,15
1338,Multimodal Dynamics: Dynamical Fusion for Trustworthy Multimodal Classification,15
490,Learning To Solve Hard Minimal Problems,15
1794,Multi-Person Extreme Motion Prediction,15
494,C-CAM: Causal CAM for Weakly Supervised Semantic Segmentation on Medical Image,15
1836,ContIG: Self-Supervised Multimodal Contrastive Learning for Medical Imaging With Genetics,15
236,Dancing Under the Stars: Video Denoising in Starlight,15
910,Dynamic Scene Graph Generation via Anticipatory Pre-Training,15
1973,Label-Only Model Inversion Attacks via Boundary Repulsion,15
1151,What To Look at and Where: Semantic and Spatial Refined Transformer for Detecting Human-Object Interactions,15
1574,When To Prune? A Policy Towards Early Structural Pruning,15
1810,Hyperspherical Consistency Regularization,15
1050,Mix and Localize: Localizing Sound Sources in Mixtures,15
1240,Defensive Patches for Robust Recognition in the Physical World,15
573,RigidFlow: Self-Supervised Scene Flow Learning on Point Clouds by Local Rigidity Prior,15
1988,HyperTransformer: A Textural and Spectral Feature Fusion Transformer for Pansharpening,15
306,Attribute Surrogates Learning and Spectral Tokens Pooling in Transformers for Few-Shot Learning,15
1613,Recurrent Variational Network: A Deep Learning Inverse Problem Solver Applied to the Task of Accelerated MRI Reconstruction,15
1788,Boosting Black-Box Attack With Partially Transferred Conditional Adversarial Distribution,15
1176,Learning Fair Classifiers With Partially Annotated Group Labels,15
1608,3D Photo Stylization: Learning To Generate Stylized Novel Views From a Single Image,15
566,UTC: A Unified Transformer With Inter-Task Contrastive Learning for Visual Dialog,15
1192,ROCA: Robust CAD Model Retrieval and Alignment From a Single Image,15
997,The Principle of Diversity: Training Stronger Vision Transformers Calls for Reducing All Levels of Redundancy,15
672,Exploring Frequency Adversarial Attacks for Face Forgery Detection,15
623,General Incremental Learning With Domain-Aware Categorical Representations,15
1075,STRPM: A Spatiotemporal Residual Predictive Model for High-Resolution Video Prediction,15
350,FedCorr: Multi-Stage Federated Learning for Label Noise Correction,15
1889,Future Transformer for Long-Term Action Anticipation,15
657,Background Activation Suppression for Weakly Supervised Object Localization,15
444,Towards Robust Rain Removal Against Adversarial Attacks: A Comprehensive Benchmark Analysis and Beyond,15
1704,Use All the Labels: A Hierarchical Multi-Label Contrastive Learning Framework,14
1323,NLX-GPT: A Model for Natural Language Explanations in Vision and Vision-Language Tasks,14
505,Tree Energy Loss: Towards Sparsely Annotated Semantic Segmentation,14
801,Towards Bidirectional Arbitrary Image Rescaling: Joint Optimization and Cycle Idempotence,14
110,Exploiting Temporal Relations on Radar Perception for Autonomous Driving,14
1813,Face Relighting With Geometrically Consistent Shadows,14
792,Decoupling Makes Weakly Supervised Local Feature Better,14
1538,Learning a Structured Latent Space for Unsupervised Point Cloud Completion,14
459,IRISformer: Dense Vision Transformers for Single-Image Inverse Rendering in Indoor Scenes,14
445,STCrowd: A Multimodal Dataset for Pedestrian Perception in Crowded Scenes,14
2036,JIFF: Jointly-Aligned Implicit Face Function for High Quality Single View Clothed Human Reconstruction,14
1188,Think Twice Before Detecting GAN-Generated Fake Images From Their Spectral Domain Imprints,14
448,Symmetry and Uncertainty-Aware Object SLAM for 6DoF Object Pose Estimation,14
1816,Probabilistic Warp Consistency for Weakly-Supervised Semantic Correspondences,14
1991,Entropy-Based Active Learning for Object Detection With Progressive Diversity Constraint,14
1496,PNP: Robust Learning From Noisy Labels by Probabilistic Noise Prediction,14
2016,Learned Queries for Efficient Local Attention,14
163,Glass Segmentation Using Intensity and Spectral Polarization Cues,14
1428,Overcoming Catastrophic Forgetting in Incremental Object Detection via Elastic Response Distillation,14
890,Learning Program Representations for Food Images and Cooking Recipes,14
1235,Automated Progressive Learning for Efficient Training of Vision Transformers,14
643,Optical Flow Estimation for Spiking Camera,14
1252,Hierarchical Modular Network for Video Captioning,14
738,ISDNet: Integrating Shallow and Deep Networks for Efficient Ultra-High Resolution Segmentation,14
838,Improving GAN Equilibrium by Raising Spatial Awareness,14
1062,Unifying Panoptic Segmentation for Autonomous Driving,14
2049,KG-SP: Knowledge Guided Simple Primitives for Open World Compositional Zero-Shot Learning,14
986,Learning Local Displacements for Point Cloud Completion,14
979,Instance Segmentation With Mask-Supervised Polygonal Boundary Transformers,14
1246,Learning Transferable Human-Object Interaction Detector With Natural Language Supervision,14
1403,SAR-Net: Shape Alignment and Recovery Network for Category-Level 6D Object Pose and Size Estimation,14
492,FWD: Real-Time Novel View Synthesis With Forward Warping and Depth,14
1945,Cascade Transformers for End-to-End Person Search,14
1324,Bringing Old Films Back to Life,13
1301,A Deeper Dive Into What Deep Spatiotemporal Networks Encode: Quantifying Static vs. Dynamic Information,13
835,Beyond Fixation: Dynamic Window Visual Transformer,13
1459,Differentiable Stereopsis: Meshes From Multiple Views Using Differentiable Rendering,13
153,Doodle It Yourself: Class Incremental Learning by Drawing a Few Sketches,13
1355,"Show, Deconfound and Tell: Image Captioning With Causal Inference",13
40,Motion-Aware Contrastive Video Representation Learning via Foreground-Background Merging,13
547,Generalizing Gaze Estimation With Rotation Consistency,13
831,Blind Image Super-Resolution With Elaborate Degradation Modeling on Noise and Kernel,13
1776,LARGE: Latent-Based Regression Through GAN Semantics,13
124,It's Time for Artistic Correspondence in Music and Video,13
43,Cross-Modal Clinical Graph Transformer for Ophthalmic Report Generation,13
405,Ray3D: Ray-Based 3D Human Pose Estimation for Monocular Absolute 3D Localization,13
987,Human Hands As Probes for Interactive Object Understanding,13
802,Self-Supervised Neural Articulated Shape and Appearance Models,13
71,Expanding Low-Density Latent Regions for Open-Set Object Detection,13
871,Collaborative Transformers for Grounded Situation Recognition,13
805,Eigenlanes: Data-Driven Lane Descriptors for Structurally Diverse Lanes,13
1107,Unsupervised Deraining: Where Contrastive Learning Meets Self-Similarity,13
1257,DeeCap: Dynamic Early Exiting for Efficient Image Captioning,13
943,Probabilistic Representations for Video Contrastive Learning,13
246,SPAMs: Structured Implicit Parametric Models,13
1910,MUM: Mix Image Tiles and UnMix Feature Tiles for Semi-Supervised Object Detection,13
952,Time3D: End-to-End Joint Monocular 3D Object Detection and Tracking for Autonomous Driving,13
269,Fire Together Wire Together: A Dynamic Pruning Approach With Self-Supervised Mask Prediction,13
1554,Episodic Memory Question Answering,13
212,Clipped Hyperbolic Classifiers Are Super-Hyperbolic Classifiers,13
1982,Structural and Statistical Texture Knowledge Distillation for Semantic Segmentation,13
634,Neural Reflectance for Shape Recovery With Shadow Handling,13
174,Moving Window Regression: A Novel Approach to Ordinal Regression,13
1854,ResSFL: A Resistance Transfer Framework for Defending Model Inversion Attack in Split Federated Learning,13
620,Learning Optical Flow With Kernel Patch Attention,13
1414,Cross-Modal Background Suppression for Audio-Visual Event Localization,13
722,Diverse Plausible 360-Degree Image Outpainting for Efficient 3DCG Background Creation,12
1710,Learning To Align Sequential Actions in the Wild,12
417,ElePose: Unsupervised 3D Human Pose Estimation by Predicting Camera Elevation and Learning Normalizing Flows on 2D Poses,12
1961,Group Contextualization for Video Recognition,12
974,Critical Regularizations for Neural Surface Reconstruction in the Wild,12
261,Controllable Dynamic Multi-Task Architectures,12
1799,Towards Noiseless Object Contours for Weakly Supervised Semantic Segmentation,12
44,Human-Object Interaction Detection via Disentangled Transformer,12
923,Cross-Modal Transferable Adversarial Attacks From Images to Videos,12
1105,Collaborative Learning for Hand and Object Reconstruction With Attention-Guided Graph Convolution,12
1841,Disentangling Visual and Written Concepts in CLIP,12
1850,Non-Probability Sampling Network for Stochastic Human Trajectory Prediction,12
1431,P3IV: Probabilistic Procedure Planning From Instructional Videos With Weak Supervision,12
1560,Blind Face Restoration via Integrating Face Shape and Generative Priors,12
679,Learning Bayesian Sparse Networks With Full Experience Replay for Continual Learning,12
1450,HL-Net: Heterophily Learning Network for Scene Graph Generation,12
1790,Ray Priors Through Reprojection: Improving Neural Radiance Fields for Novel View Extrapolation,12
829,Look Closer To Supervise Better: One-Shot Font Generation via Component-Based Discriminator,12
1102,Active Teacher for Semi-Supervised Object Detection,12
1388,Boosting Robustness of Image Matting With Context Assembling and Strong Data Augmentation,12
1965,Rethinking Bayesian Deep Learning Methods for Semi-Supervised Volumetric Medical Image Segmentation,12
500,DIFNet: Boosting Visual Information Flow for Image Captioning,12
2025,PlaneMVS: 3D Plane Reconstruction From Multi-View Stereo,12
363,Equivariant Point Cloud Analysis via Learning Orientations for Message Passing,12
1500,What Matters for Meta-Learning Vision Regression Tasks?,12
760,Quarantine: Sparsity Can Uncover the Trojan Attack Trigger for Free,12
1900,Geometric Anchor Correspondence Mining With Uncertainty Modeling for Universal Domain Adaptation,12
789,DIP: Deep Inverse Patchmatch for High-Resolution Optical Flow,12
753,Exploiting Rigidity Constraints for LiDAR Scene Flow Estimation,12
1485,Task-Specific Inconsistency Alignment for Domain Adaptive Object Detection,12
1811,Unsupervised Image-to-Image Translation With Generative Prior,12
874,CPPF: Towards Robust Category-Level 9D Pose Estimation in the Wild,12
1407,Forecasting From LiDAR via Future Object Detection,12
